Episode,Step,Instantaneous Reward
1,1,12378910.767187994
1,2,13479353.729016602
1,3,10193689.175160175
1,4,11100681.490397692
1,5,12319888.929551486
1,6,10553070.59834889
1,7,11379442.828646407
1,8,12934717.240073744
1,9,11777188.907124719
1,10,13987331.436702058
1,11,12981593.650981916
1,12,12477410.929245958
1,13,13294357.379621536
1,14,12396988.926199187
1,15,13303251.791017866
1,16,13014871.23236011
1,17,13148497.156407576
1,18,13494795.970113078
1,19,12827918.847897671
1,20,14263372.571403304
1,21,12147433.44862767
1,22,13026458.37673659
1,23,12846413.342821198
1,24,13464363.743060865
1,25,12953365.253645627
1,26,13393088.61296989
1,27,12922042.418565137
1,28,13145798.065270888
1,29,12921222.74614442
